Param, Platform, Confirmed In, Unique Per Visitor
fbclid, Facebook,,
gclid, Google AdWords / Google Analytics,,
gclsrc, Google DoubleClick,,
utm_content, Google Analytics,,
utm_term, Google Analytics,,
utm_campaign, Google Analytics,,
utm_medium, Google Analytics,,
utm_source, Google Analytics,,
_ga, Google Analytics,,
mc_cid, Mailchimp,,
mc_eid, Mailchimp,,
_bta_tid, Bronto, https://p.bm23.com/bta.js,
_bta_c, Bronto, https://p.bm23.com/bta.js,
trk_contact, Listrak,,
trk_msg, Listrak,,
trk_module, Listrak,,
trk_sid, Listrak,,
gdfms, GoDataFeed,,
gdftrk, GoDataFeed,,
gdffi, GoDataFeed,,
_ke, Klaviyo, http://a.klaviyo.com/media/js/analytics/analytics.js,
redirect_log_mongo_id, Springbot,,
redirect_mongo_id, Springbot,,
sb_referer_host, Springbot,,
mkwid, Marin,,
pcrid, Marin,,
ef_id, Adobe Advertising Cloud, https://helpx.adobe.com/media-optimizer/internal-kb/conversion-tracking-basics.html,Yes
s_kwcid, Adobe Analytics, https://docs.adobe.com/content/help/en/analytics/integration/advertising-analytics/advertising-analytics-workflow/aa-manual-vs-automatic-tracking.html,
msclkid, Microsoft Advertising, https://help.ads.microsoft.com/apex/index/3/en/60000, Yes